video_name,x_2D_shot,y_2D_shot,x_2D_rebound,y_2D_rebound
OFF REB (40),819.1987368385663,134.85251111755792,999.5740432024588,412.25259835992
OFF REB (413),851.4001513293198,429.46832049086896,1055.1028197468663,279.90111562608206
OFF REB (413),1054.9203104007229,307.9001096239341,1022.484390674265,456.8390414032508
OFF REB (380),1008.9859628321824,396.5942151490536,1034.3638023260437,429.5736775326091
OFF REB (51),1032.8811348532367,333.3675595897477,1020.7711043739754,337.99722080745346
OFF REB (502),995.3584852689398,294.65016178696595,1043.931205450296,404.1623308395585
OFF REB (502),1024.1885151831905,363.7815491601369,1029.8442480291808,398.39708607516
OFF REB (489),906.5744601982556,296.4322768712329,983.0915274920628,317.5249740703478
OFF REB (55),801.1590211257455,239.4503048899261,1033.3571999902872,354.4595970846394
OFF REB (55),1033.858265280913,397.0679644940149,,
OFF REB (52),1042.7040293438342,399.0782641258464,1031.677377016353,341.44704169665727
OFF REB (52),1011.3460143884588,348.5640055744395,,
OFF REB (497),227.40197496883252,266.7706993798293,201.40626008341093,394.2273777674601
OFF REB (497),194.7746242183117,355.8353160448908,247.40528778047957,318.4118701787817
OFF REB (520),814.9246660841097,154.97151038216347,1026.760907214316,393.79094876760655
OFF REB (520),,,978.4833193975544,375.87639439222255
OFF REB (487),802.9246064921109,416.3241905004085,1015.5268177489158,263.75672251829536
OFF REB (487),1027.1541234525605,-327.4010023502382,,
OFF REB (473),872.8948479645398,158.91397406305188,974.9253488993352,361.4219711973492
OFF REB (473),1001.6564562211772,417.4752894649613,1015.3266356109282,320.66640138902113
OFF REB (454),202.88623506382373,209.18822554160448,171.58341615510443,281.976945588989
OFF REB (472),392.85301451737473,289.4929643465823,247.06777032066296,174.19208937852997
OFF REB (472),183.6597109511246,399.5165109323831,195.35781362000537,396.29726440926106
OFF REB (445),1025.1208816252288,391.78701777648473,1058.1420736650675,224.124811705582
OFF REB (445),1020.72513073454,395.52440773572863,,
OFF REB (433),982.358405678056,378.5863794586958,1030.593170863329,393.7819140471861
OFF REB (433),1040.4890249072082,399.3583625242031,1034.1944846211468,395.91006415507536
OFF REB (432),982.358405678056,378.5863794586958,1030.593170863329,393.7819140471861
OFF REB (432),1040.4890249072082,399.3583625242031,1034.1944846211468,395.91006415507536
OFF REB (437),800.2418043221173,308.36451832526666,,
OFF REB (612),923.479847547621,1082.0697948821294,976.0535446000996,282.8480374497051
OFF REB (595),875.7407834525291,98.01501212336348,936.075291195815,249.66814501875723
OFF REB (595),996.1192540687993,345.6742722887788,1025.739745929021,449.7467550195426
OFF REB (595),1027.4707415939652,447.6958101313257,,
OFF REB (575),1037.3371080423992,396.10881891272777,1009.200604075122,315.5627393120177
OFF REB (61),955.6809304090756,304.835059760576,1022.8827468849232,379.442137050676
OFF REB (61),1058.1067841769843,372.3884260609234,1028.8511006759063,393.4611278390824
OFF REB (596),275.39798566403937,319.0050267674817,193.7193047911964,352.78589060282684
OFF REB (6),386.4826533421573,388.8105339190328,258.71172593948813,250.1877774569128
OFF REB (56),801.1590211257455,239.4503048899261,1033.3571999902872,354.4595970846394
OFF REB (56),1033.858265280913,397.0679644940149,,
OFF REB (562),1020.451038712342,64.98923698673684,1046.644535519877,401.1730183649872
OFF REB (23),312.7968686089956,364.08583660122736,193.18406313094368,348.6067534684412
OFF REB (24),312.7968686089956,364.08583660122736,193.18406313094368,348.6067534684412
OFF REB (26),,,267.72984676291725,263.3443637445528
OFF REB (26),199.30199078912656,265.7291866001161,196.44094589707544,396.05498800625486
OFF REB (26),193.61158463166552,397.0225118440633,198.34325068718303,395.04427916944405
OFF REB (28),990.6981805623788,124.22264359823126,1033.2050828203935,342.6909287719882
OFF REB (29),236.53751778181228,275.1332575092162,202.73731993706176,390.74280698543504
OFF REB (30),262.10605178764973,283.8820810276198,222.4762422659015,289.10134525568105
OFF REB (36),971.4870912032544,267.370435291408,991.066578792329,376.7511245550916
OFF REB (37),826.6035445365301,378.59943192343735,993.2173394514734,251.95099535676383
OFF REB (37),888.7996301526489,518.7484366092641,977.8681492663007,304.85146388871453
OFF REB (38),826.6035445365301,378.59943192343735,993.2173394514734,251.95099535676383
OFF REB (38),888.7996301526489,518.7484366092641,977.8681492663007,304.85146388871453
OFF REB (107),884.346041416456,459.7159509089233,758.784640195567,363.3210766231359
OFF REB (107),827.3151340980133,289.49975854761584,1051.268658956838,263.04803684941504
OFF REB (107),1067.5457337718262,233.7300378049229,1042.2172018372144,322.414044857595
OFF REB (107),1051.391653291446,304.77816771935284,,
OFF REB (120),743.7414503912995,439.6005602468854,982.0494950559968,315.335771594505
OFF REB (136),165.75158498312737,353.4924636123854,-114.20245782152134,1770.2753220293507
OFF REB (136),107.2856988169212,974.0287260353851,415.6285800228576,104.28134755733323
OFF REB (138),497.7430833587329,352.850959034639,,
OFF REB (138),182.2203298636464,343.23689850911035,170.15271153793233,369.6222636429153
OFF REB (140),,,208.50070470349655,509.4564969281992
OFF REB (140),252.6902178657123,601.2118371079123,232.44677738494028,176.68556539989015
OFF REB (146),822.0028306342067,449.4792599607407,1007.2090205005312,355.346646117688
OFF REB (163),408.5830936324395,267.67615377773893,213.13023801704915,321.6658946812519
OFF REB (164),365.8292251940748,171.4038837916417,196.082490434922,479.3958597327129
OFF REB (164),186.98534262408535,397.7234031770855,,
OFF REB (166),322.58076206697245,266.9044088102963,257.131288329199,283.1999740807505
OFF REB (166),301.63358454631333,371.3985671001054,179.47113922771754,392.02600119466354
OFF REB (179),430.6615127915545,396.9098852133489,313.9626029285206,402.32050043613344
OFF REB (179),183.06927820607476,402.38190462877634,188.0347187764496,396.9427504778997
OFF REB (184),1033.8972828769286,620.3197861736187,1032.0792244455542,394.3172828908176
OFF REB (187),1019.4541471020192,517.8050661657657,,
OFF REB (187),1032.7203503736637,261.5797724800171,1010.0987866660358,393.62873169418674
OFF REB (187),933.624005389604,555.164837006415,1102.6801483966196,349.20988545276776
OFF REB (188),1019.4541471020192,517.8050661657657,,
OFF REB (188),1032.7203503736637,261.5797724800171,1010.0987866660358,393.62873169418674
OFF REB (188),933.624005389604,555.164837006415,1102.6801483966196,349.20988545276776
OFF REB (194),204.79677125286213,371.9062204487669,196.44515743269235,394.9656356543465
OFF REB (197),1039.0615789323806,398.36574803898105,1027.655405005139,392.30780029126464
OFF REB (197),1028.3285447810456,392.1494236363401,1027.7845705154882,394.0013668751321
OFF REB (198),1039.0615789323806,398.36574803898105,1027.655405005139,392.30780029126464
OFF REB (198),1028.3285447810456,392.1494236363401,1027.7845705154882,394.0013668751321
OFF REB (199),1039.0615789323806,398.36574803898105,1027.655405005139,392.30780029126464
OFF REB (199),1028.3285447810456,392.1494236363401,1027.7845705154882,394.0013668751321
OFF REB (200),1020.6374039063726,274.56918986458584,1042.5386738016891,398.94495270016967
OFF REB (202),282.28390771915053,83.76940798229174,189.7375520856457,396.9286393182927
OFF REB (202),177.34452725082332,76.3735984753828,181.92167105574163,400.5589453608986
OFF REB (203),282.28390771915053,83.76940798229174,189.7375520856457,396.9286393182927
OFF REB (203),177.34452725082332,76.3735984753828,181.92167105574163,400.5589453608986
OFF REB (208),183.23242382586423,405.4554713389732,161.12667090293505,401.7069778438107
OFF REB (245),1010.0097765872308,641.6873222351186,1033.1760292604245,509.0594599434461
OFF REB (245),1039.4721098355883,400.5191610482528,1006.4383356046296,374.2024157454277
OFF REB (245),1036.4662128178331,231.98406934613035,1033.7448686433208,396.4781159105546
OFF REB (246),1010.0097765872308,641.6873222351186,1033.1760292604245,509.0594599434461
OFF REB (246),1039.4721098355883,400.5191610482528,1006.4383356046296,374.2024157454277
OFF REB (246),1036.4662128178331,231.98406934613035,1033.7448686433208,396.4781159105546
OFF REB (254),811.571959887294,360.4476622371333,990.2459413981472,379.9241500211132
OFF REB (258),988.8459847899642,519.4431760534025,963.342865001937,407.52482644357855
OFF REB (260),1082.6813867689625,-47.64630284361736,,
OFF REB (272),206.18937034960032,204.646413628506,188.80423787352865,326.2007477129752
OFF REB (273),206.18937034960032,204.646413628506,188.80423787352865,326.2007477129752
OFF REB (276),,,1092.944811272335,286.3074082692419
OFF REB (276),1091.353884425659,272.80364970067654,1102.739443750656,315.8411826726017
OFF REB (280),,,,
OFF REB (284),187.9377290851395,399.8308527480947,201.664217744919,369.4087603874143
OFF REB (284),196.94890497552427,363.5504801835882,195.9845026959941,395.7057436770432
OFF REB (290),1042.4009439510469,101.41896483039996,1043.092885356116,399.8859484606114
OFF REB (294),,,,
OFF REB (322),,,1092.944811272335,286.3074082692419
OFF REB (322),1091.353884425659,272.80364970067654,1102.739443750656,315.8411826726017
OFF REB (326),,,,
OFF REB (330),187.9377290851395,399.8308527480947,201.664217744919,369.4087603874143
OFF REB (330),196.94890497552427,363.5504801835882,195.9845026959941,395.7057436770432
OFF REB (336),1042.4009439510469,101.41896483039996,1043.092885356116,399.8859484606114
OFF REB (340),,,,
OFF REB (379),442.46897164017,357.4531186149796,194.035216093268,403.4707444805599
OFF REB (384),412.8782905637648,423.1130191669229,202.69121745634584,397.900959078497
OFF REB (617),401.099884578516,331.83563953065254,183.44639876010055,399.7060779993073
OFF REB (1003),905.1855161519168,402.3366278562591,1022.00178732758,390.30337990770255
OFF REB (1024),285.1291775496241,231.33920864226292,206.4260357007138,370.0850441215394
OFF REB (1024),197.42711217261743,366.8806587507526,198.4186874077811,390.09142499990367
OFF REB (1024),200.52997697081108,389.1527231682449,266.1209013850721,280.36371651886225
OFF REB (1025),285.1291775496241,231.33920864226292,206.4260357007138,370.0850441215394
OFF REB (1025),197.42711217261743,366.8806587507526,198.4186874077811,390.09142499990367
OFF REB (1025),200.52997697081108,389.1527231682449,266.1209013850721,280.36371651886225
OFF REB (1036),296.02355890186146,73.56957773169032,179.9026031913642,399.2264866174787
OFF REB (1053),810.501109833366,549.2500535292238,1028.2910405978128,393.84757916394295
OFF REB (1054),810.501109833366,549.2500535292238,1028.2910405978128,393.84757916394295
OFF REB (1056),200.091271165212,392.2504194800224,264.5964627388373,313.09363643376355
OFF REB (1057),306.4893564428896,514.2946977592775,200.54295480515145,271.67572304338364
OFF REB (1057),175.76700612877167,93.22783295368488,192.43959475586755,350.1584583548053
OFF REB (1057),178.16075164138894,321.5683368614147,191.7336257179549,396.4660880170445
OFF REB (1067),,,,
OFF REB (1067),,,,
OFF REB (1067),,,,
OFF REB (1067),,,1185.4095120625288,286.2756687304354
OFF REB (1067),1032.4283340421257,398.9032143497063,1040.0995551364322,400.6440960194591
OFF REB (1067),1036.745223058538,398.9465811891114,1019.818214700756,390.53501051501286
