frame,tracking_id,class_id,x_center,y_center,width,height,confidence
0,1,2,326.29977,189.0237,252.67743,369.76218,0.8627989888191223
0,2,2,186.70685,208.46606,283.45233,386.06586,0.6583800315856934
1,1,2,348.8175,198.3469,245.39722,358.6828,0.9032039642333984
2,1,2,352.56372,199.00365,243.44197,355.16635,0.9052475690841675
3,1,2,375.66187,191.4405,249.704,363.30154,0.8717429637908936
3,2,2,222.31117,248.8438,242.387,328.1561,0.7227320671081543
4,1,2,403.0417,187.53824,253.81021,368.12347,0.8904722929000854
4,2,2,249.31561,244.24292,248.25928,334.24664,0.6919229030609131
5,1,2,439.79272,194.10124,250.41382,362.39157,0.8269432783126831
5,2,2,277.72162,243.19846,253.96202,339.372,0.5435678362846375
5,3,2,1169.4905,183.57587,221.01892,356.58136,0.6078451871871948
6,1,2,471.85303,191.603,255.36084,366.69952,0.8115254044532776
6,3,2,1194.3984,195.70436,171.203,323.5873,0.6532341241836548
7,1,2,499.5435,190.42596,259.83844,370.32928,0.7249607443809509
7,2,2,333.9465,230.8311,288.87787,387.54617,0.574445903301239
8,1,2,509.4859,190.27933,262.5984,371.26025,0.7269597053527832
8,2,2,343.60748,228.78636,294.43494,396.53195,0.5858327746391296
9,-1,2,596.1611,416.1039,147.42957,400.11176,0.7582361698150635
13,-1,2,166.81094,481.38718,130.70612,302.09735,0.7129133939743042
14,5,2,167.6181,482.21243,131.6565,304.3388,0.7237352132797241
16,-1,2,1174.3866,370.10916,207.19995,318.00983,0.5556010603904724
21,1,2,621.28357,213.87845,243.05841,352.00146,0.8477481603622437
25,-1,2,882.36615,211.59085,288.75818,351.90448,0.5310118794441223
26,7,2,882.5923,211.16847,286.27338,348.85916,0.5706949234008789
27,-1,2,863.9889,551.8135,114.25879,325.45264,0.7021989226341248
30,7,2,977.61957,205.90913,283.77502,346.43558,0.6290074586868286
31,7,2,1015.479,199.30806,289.6806,354.91922,0.5176593661308289
32,7,2,1026.3958,197.15527,290.6781,357.67346,0.5119726061820984
33,7,2,1048.4064,196.07948,294.37598,363.5922,0.5150467753410339
