frame,tracking_id,class_id,x_center,y_center,width,height,confidence
0,1,2,1152.6494,426.10468,59.253906,172.11108,0.9165043830871582
0,2,2,863.11926,376.24707,58.684692,145.88892,0.9121252298355103
0,3,2,364.0097,358.60284,68.623535,138.83606,0.9114804267883301
0,4,2,316.2694,369.00842,60.92981,152.807,0.8968632817268372
0,5,2,200.66371,307.5514,45.41382,100.201294,0.8648775219917297
0,6,2,626.1141,334.00223,59.17737,136.58868,0.8330056071281433
0,7,1,768.10284,193.43896,33.33069,31.802368,0.8328820466995239
0,8,2,272.82056,307.0822,57.743896,90.88684,0.8276746273040771
0,9,2,556.4394,380.9859,91.71521,154.62817,0.8136549592018127
0,10,2,575.4628,348.5542,70.45618,108.911255,0.8014299273490906
0,11,2,506.34363,389.76422,74.84558,166.66998,0.7933776378631592
1,1,2,1152.2981,427.84216,60.21814,174.99911,0.9129281044006348
1,2,2,861.32935,379.1893,57.67572,143.2691,0.8986983895301819
1,3,2,361.28052,359.7497,68.53519,138.4664,0.9172936081886292
1,4,2,313.60962,369.99365,60.387115,151.49686,0.882923424243927
1,5,2,201.34944,306.9398,46.568695,102.80487,0.8842800855636597
1,6,2,625.64526,336.95154,59.70172,137.59421,0.8749397993087769
1,7,1,766.72546,192.89017,33.647034,32.097397,0.850601851940155
1,8,2,260.91803,307.35913,58.919327,92.23273,0.8638477921485901
1,9,2,557.94885,380.60974,92.19147,155.7024,0.8671602010726929
1,10,2,566.1572,348.5043,71.196106,110.26666,0.7165218591690063
1,11,2,501.69998,388.53555,75.299866,167.41882,0.8418400883674622
2,1,2,1152.3191,428.00015,60.881104,176.83502,0.9063654541969299
2,2,2,859.4636,381.2035,57.944763,143.742,0.9094922542572021
2,3,2,360.627,361.03387,69.72891,140.83762,0.9174210429191589
2,4,2,310.4831,370.45142,60.772064,152.6109,0.8957950472831726
2,5,2,201.58907,306.88556,45.975067,101.68973,0.8886069655418396
2,6,2,624.6783,338.89148,60.551514,139.07663,0.8514052629470825
2,7,1,764.6437,192.7992,33.6698,32.11293,0.8506545424461365
2,8,2,254.63754,306.10828,58.006577,89.735504,0.8567664623260498
2,9,2,558.6591,379.5238,92.492065,156.88876,0.8911430239677429
2,10,2,563.8385,348.22888,70.17975,108.85693,0.7244037389755249
2,11,2,497.8797,389.11896,75.439575,167.62051,0.8533158898353577
3,1,2,1152.3219,428.8051,61.55835,178.76633,0.9024226665496826
3,2,2,857.7124,381.80875,58.744446,145.51068,0.910927951335907
3,3,2,360.16232,362.6905,70.76117,143.03165,0.9164931774139404
3,4,2,308.76053,370.3324,61.55365,154.88629,0.8925824165344238
3,5,2,201.88913,307.82837,45.07927,99.93878,0.8834903836250305
3,6,2,622.6488,338.77325,58.41034,133.08096,0.8376027345657349
3,7,1,762.2837,192.78227,33.69867,32.11374,0.8362457752227783
3,8,2,251.76416,305.63037,57.295,87.158295,0.7894130945205688
3,9,2,554.59546,378.1895,92.03842,156.84012,0.9043919444084167
3,10,2,562.82385,346.92703,68.20386,106.220764,0.6364689469337463
3,11,2,492.1741,388.21582,75.19464,167.24857,0.8869168162345886
4,1,2,1152.3191,429.04926,61.792236,179.4122,0.9025238156318665
4,2,2,857.19617,381.94287,59.064636,146.05136,0.910962700843811
4,3,2,360.00504,363.16516,71.00232,143.62836,0.9169190526008606
4,4,2,308.27658,370.33298,61.702454,155.59967,0.8935325741767883
4,5,2,201.9645,308.1594,44.64621,99.23932,0.8853455185890198
4,6,2,621.8887,338.46814,57.89331,130.6489,0.8390364050865173
4,7,1,761.5973,192.81348,33.698914,32.082443,0.8366810083389282
4,8,2,251.33304,305.50513,58.07794,86.65115,0.7901351451873779
