frame,tracking_id,class_id,x_center,y_center,width,height,confidence
0,1,2,130.00519,358.42297,54.15674,125.089966,0.9273231625556946
0,2,2,753.91473,407.0389,69.798096,136.71661,0.9119953513145447
0,3,2,324.35165,377.0034,55.803406,137.7879,0.9042940735816956
0,4,2,196.32315,480.85065,79.00592,160.60938,0.8960254192352295
0,5,2,257.77704,480.6645,79.54254,165.70215,0.8956317901611328
0,6,2,635.8317,465.22693,66.642944,153.14575,0.8847702741622925
0,7,2,495.2433,307.7815,41.475952,109.956055,0.881759762763977
0,8,2,577.70703,464.21118,100.333496,150.39551,0.867216944694519
0,9,1,797.27216,248.73218,34.981323,34.986816,0.8634971380233765
0,10,2,612.681,353.57492,51.707397,111.17035,0.8098030686378479
0,11,2,626.8585,393.6214,74.228516,133.86108,0.7486296892166138
0,12,0,657.9553,455.41336,26.124756,22.371277,0.6396569013595581
1,1,2,130.26857,358.41766,54.184486,125.19452,0.9238536953926086
1,2,2,753.8573,407.5467,70.202576,137.50552,0.910406768321991
1,3,2,323.97406,377.62527,56.119965,138.63464,0.8988944292068481
1,4,2,192.20673,480.2442,78.759476,160.35355,0.8904145359992981
1,5,2,254.33795,478.99976,80.28856,167.51562,0.9217249751091003
1,6,2,638.6494,465.49643,65.95831,151.73712,0.8960613012313843
1,7,2,493.98688,308.13873,41.930817,111.057175,0.8974279165267944
1,8,2,587.9829,466.5846,101.54413,152.38025,0.9070480465888977
1,9,1,795.74915,249.60062,36.257507,36.25801,0.8556891083717346
1,10,2,613.3864,355.39615,52.763306,113.51721,0.6500872373580933
1,11,2,624.2655,392.4388,71.427734,128.68921,0.6882559657096863
1,12,0,660.3469,452.62537,25.403076,21.796234,0.8085234761238098
2,1,2,130.37833,358.66537,54.324394,125.6366,0.9207627177238464
2,2,2,753.8685,408.0995,70.45294,137.96973,0.9147958755493164
2,3,2,323.7012,377.62024,56.015503,138.45203,0.8996204733848572
2,4,2,190.25702,479.58514,78.72829,160.73044,0.8790331482887268
2,5,2,251.79897,479.53717,79.705475,166.70541,0.9014719724655151
2,6,2,639.72327,464.80872,66.3219,152.5603,0.8656991124153137
2,7,2,490.55154,308.88562,42.46167,112.07715,0.902548611164093
