frame,class_id,confidence,x_center,y_center,width,height,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,conf_kp1,conf_kp2,conf_kp3,conf_kp4,conf_kp5,conf_kp6
0,1,0.9300206899642944,661.0,337.0,384.0,360.0,,,,,,,,,469.7063903808594,413.5315246582031,565.660888671875,521.4390258789062,0.45004463,0.4967825,0.44229072,0.09287717,0.70006275,0.7261721
1,1,0.9431264400482178,661.433837890625,339.16943359375,381.30560302734375,357.396728515625,706.2950439453125,316.7480773925781,831.2821655273438,384.54583740234375,972.6129150390625,481.10150146484375,,,488.9884033203125,418.8218994140625,570.730712890625,513.1083374023438,0.59250957,0.67587006,0.7880642,0.086666696,0.67970383,0.7495008
2,1,0.9327858090400696,660.7261962890625,339.9315185546875,380.08782958984375,356.16943359375,704.8093872070312,317.8131103515625,829.291259765625,385.3824768066406,969.4188232421875,481.58367919921875,,,491.28924560546875,419.2037658691406,569.6243896484375,512.9989013671875,0.5947497,0.6844377,0.78886074,0.09146578,0.6689031,0.7379106
3,1,0.9282900094985962,657.8189086914062,339.3633728027344,379.8839416503906,355.83526611328125,,,,,,,,,467.8832092285156,415.718017578125,565.4459838867188,522.7985229492188,0.45294526,0.49809098,0.4444365,0.09347208,0.6982272,0.72482616
4,1,0.9256932139396667,656.1690673828125,339.8867492675781,380.0014343261719,355.77874755859375,,,,,,,,,466.39434814453125,416.5023193359375,563.13330078125,522.92529296875,0.45621115,0.499228,0.44661525,0.09336208,0.6958173,0.72485316
5,1,0.92800372838974,655.3199462890625,341.12615966796875,380.87164306640625,356.5106201171875,,,,,,,,,466.8262939453125,417.3614501953125,565.08154296875,524.65869140625,0.45458186,0.49945784,0.446661,0.09336613,0.6976777,0.7256083
6,1,0.9277102947235107,655.0864868164062,341.5410461425781,381.2608642578125,356.78692626953125,,,,,,,,,466.8232421875,417.60491943359375,565.07470703125,525.1162109375,0.45477784,0.49968693,0.4468762,0.093247466,0.6974285,0.72552794
7,1,0.925712525844574,654.713134765625,342.6997375488281,380.8700866699219,356.20587158203125,,,,,,,,,465.69097900390625,419.16778564453125,563.7999267578125,526.6812133789062,0.45544666,0.49925515,0.4465882,0.0926536,0.69626385,0.72578573
8,1,0.9254814982414246,654.623046875,343.09747314453125,382.0559997558594,357.3658752441406,,,823.8529052734375,395.51251220703125,961.46484375,485.8578186035156,,,455.52349853515625,422.48101806640625,556.354736328125,522.2893676757812,0.46563458,0.525049,0.5083364,0.12889807,0.62759703,0.69776434
9,1,0.9558828473091125,653.2755126953125,344.9073486328125,383.69390869140625,358.4736633300781,698.3005981445312,319.8320007324219,820.8359985351562,392.463134765625,961.9012451171875,485.17254638671875,,,473.75836181640625,424.38525390625,559.2186279296875,515.4547119140625,0.5953913,0.6747522,0.7812436,0.08127129,0.6895584,0.79937434
10,1,0.9717123508453369,651.8019409179688,347.2314758300781,386.4054260253906,360.89727783203125,695.2894287109375,319.9512023925781,817.1138305664062,393.5316162109375,959.604248046875,485.27630615234375,,,470.29962158203125,425.2704772949219,557.8248901367188,518.6036987304688,0.59721303,0.6688076,0.7826292,0.07816862,0.70384747,0.80404085
11,1,0.9738487005233765,650.2867431640625,348.39935302734375,388.18426513671875,362.4584655761719,694.2435302734375,319.4871826171875,816.4248657226562,393.0926818847656,959.487060546875,485.03912353515625,,,466.5078430175781,425.59503173828125,555.871826171875,519.975830078125,0.5948609,0.65777504,0.7805481,0.07486888,0.71280366,0.80829996
12,1,0.9739006161689758,649.756591796875,348.79833984375,388.892333984375,363.0243835449219,694.1358642578125,319.4366760253906,816.349609375,393.01080322265625,959.3736572265625,484.99969482421875,,,466.39984130859375,425.56005859375,555.7962036132812,519.9617919921875,0.59473974,0.65748787,0.7804112,0.074798785,0.71293813,0.808338
13,1,0.9771708250045776,649.5978393554688,349.2408447265625,388.5693054199219,362.5482482910156,692.2534790039062,320.3077392578125,815.977294921875,393.804443359375,960.6439208984375,485.044921875,,,466.3358154296875,425.84649658203125,555.5899047851562,520.0440673828125,0.6021844,0.67172176,0.78915554,0.07671691,0.7108103,0.8063456
14,1,0.9784149527549744,649.244140625,349.70257568359375,387.8211364746094,361.6811828613281,692.3231811523438,320.5385437011719,816.48876953125,394.06134033203125,959.8910522460938,485.49639892578125,,,464.0867004394531,426.0950622558594,553.5416259765625,519.9866943359375,0.60055965,0.6695405,0.78952885,0.077185735,0.709006,0.8033338
15,1,0.9792541265487671,648.4813232421875,349.5103759765625,387.00323486328125,360.6732482910156,691.4454956054688,322.4150695800781,817.0189208984375,395.3270263671875,963.0828857421875,486.06756591796875,,,463.60357666015625,427.1241760253906,555.4437255859375,521.062255859375,0.603306,0.6703651,0.79227173,0.07546843,0.7150977,0.8075209
16,1,0.980614423751831,648.2260131835938,350.07012939453125,386.8269958496094,360.2825927734375,688.2044677734375,322.8353271484375,814.712646484375,395.62158203125,962.2242431640625,486.0140380859375,,,464.3193359375,427.91937255859375,555.903564453125,521.4783325195312,0.6107561,0.6802533,0.79722416,0.0764725,0.7181512,0.80587417
