frame,class_id,confidence,x_center,y_center,width,height,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,conf_kp1,conf_kp2,conf_kp3,conf_kp4,conf_kp5,conf_kp6
0,0,0.9671606421470642,489.5,307.5,529.0,483.0,423.40484619140625,281.0346374511719,278.3363037109375,371.66583251953125,72.4241943359375,494.3648681640625,,,736.556884765625,424.4823303222656,628.79833984375,537.35888671875,0.7182098,0.60354376,0.5391737,0.04423837,0.66446346,0.7395589
1,0,0.9667051434516907,490.3677673339844,307.5,528.9607543945312,483.0,428.89044189453125,280.6571350097656,283.497802734375,371.4590148925781,76.46524047851562,493.08489990234375,,,738.830810546875,424.43804931640625,630.5183715820312,536.9989013671875,0.7191892,0.6063942,0.5429104,0.044226557,0.6611265,0.73606145
2,0,0.9666961431503296,490.5163879394531,307.5,528.9043579101562,483.0,428.9129943847656,280.66668701171875,283.5135498046875,371.4637451171875,76.46865844726562,493.07635498046875,,,738.85888671875,424.43829345703125,630.5371704101562,537.0003051757812,0.719202,0.6064138,0.54291105,0.044222634,0.6611062,0.7360469
3,0,0.9656543135643005,493.6001281738281,307.1183776855469,529.7029418945312,483.76324462890625,430.9579772949219,279.1921081542969,286.8009033203125,370.12823486328125,81.31195068359375,493.279296875,,,742.486328125,423.53094482421875,635.1699829101562,538.0443115234375,0.7177988,0.6073101,0.5408091,0.043599755,0.6627874,0.73679614
4,0,0.9643809795379639,496.051025390625,307.36474609375,528.9886474609375,483.2705383300781,431.9150390625,278.6469421386719,289.5125732421875,369.6267395019531,85.888916015625,493.45306396484375,,,742.7662963867188,423.468505859375,636.1931762695312,538.8504638671875,0.71479887,0.6070452,0.5397671,0.043674488,0.6635837,0.7352426
5,0,0.9614496827125549,495.3782653808594,307.4538269042969,528.1820678710938,483.09234619140625,432.0680847167969,280.7971496582031,292.4942626953125,370.6242980957031,91.20458984375,493.46356201171875,,,742.0391845703125,424.55670166015625,638.0072021484375,539.1408081054688,0.71194285,0.6072783,0.5384262,0.04413722,0.65945524,0.72913855
6,0,0.9582072496414185,498.22515869140625,307.4859619140625,527.5206298828125,483.028076171875,433.0444641113281,281.06390380859375,294.3021240234375,370.8249816894531,94.751220703125,494.411376953125,,,747.1018676757812,424.60406494140625,644.1822509765625,540.7486572265625,0.70986295,0.60628605,0.5331252,0.043234657,0.6600633,0.72811085
7,0,0.9575830101966858,498.8460693359375,307.4974365234375,526.3079833984375,483.0051574707031,434.0693664550781,281.23199462890625,296.734375,371.415283203125,98.57943725585938,494.5885009765625,,,745.85546875,424.89764404296875,643.5881958007812,541.2275390625,0.7073549,0.60581267,0.53427505,0.04386721,0.6573079,0.7246727
8,0,0.9574189186096191,499.3507995605469,307.5013122558594,525.1730346679688,482.99737548828125,434.1175537109375,281.0600280761719,296.6396179199219,371.2474060058594,98.37820434570312,494.55096435546875,,,746.6316528320312,424.76861572265625,644.2825317382812,541.233154296875,0.7075588,0.6058308,0.53384054,0.0436835,0.65778196,0.7250748
9,0,0.9586241245269775,504.8941650390625,307.50244140625,524.64453125,482.9950866699219,436.54144287109375,279.9461975097656,299.20452880859375,370.6871337890625,102.313720703125,494.4791259765625,,,751.42529296875,424.04052734375,649.7870483398438,542.3251342773438,0.7077464,0.6085951,0.5314787,0.042710945,0.6610903,0.7274245
