frame,class_id,confidence,x_center,y_center,width,height,kp1_x,kp1_y,kp2_x,kp2_y,kp3_x,kp3_y,kp4_x,kp4_y,kp5_x,kp5_y,kp6_x,kp6_y,conf_kp1,conf_kp2,conf_kp3,conf_kp4,conf_kp5,conf_kp6
18,1,0.9693967700004578,620.0603637695312,295.4073486328125,383.5264892578125,362.9010314941406,555.083984375,269.5667419433594,704.4959106445312,321.0965270996094,912.59375,402.5902404785156,,,455.94580078125,362.1488342285156,613.0960083007812,462.30474853515625,0.5613748,0.71078813,0.8191812,0.05749695,0.77917045,0.8115735
19,1,0.9693996906280518,616.2702026367188,295.52947998046875,384.361328125,363.1371765136719,551.2025146484375,268.712890625,703.9859008789062,321.6994323730469,914.7095947265625,403.701171875,,,446.94635009765625,364.601318359375,599.71337890625,465.16656494140625,0.5675699,0.7113903,0.8275054,0.058030378,0.7716102,0.79747397
20,1,0.9708002209663391,614.8905029296875,295.5687255859375,384.78546142578125,363.2071533203125,549.7683715820312,268.70538330078125,703.2476806640625,321.75054931640625,913.41064453125,403.73150634765625,,,446.42852783203125,365.67144775390625,599.492431640625,465.8929138183594,0.5676196,0.7086778,0.82655275,0.057453007,0.77365,0.79830277
21,1,0.9690672755241394,613.4393310546875,295.9073486328125,385.8079833984375,363.87640380859375,548.9903564453125,268.426513671875,702.45361328125,321.6064758300781,913.8461303710938,403.8415222167969,,,445.8211669921875,365.68017578125,599.6021728515625,466.0870361328125,0.56232923,0.70175076,0.82469463,0.056434948,0.77266234,0.7973275
22,1,0.9691557288169861,612.9505615234375,296.029052734375,386.3442687988281,364.1127014160156,548.9921875,268.4219970703125,702.450927734375,321.6045837402344,913.832763671875,403.8346862792969,,,445.81341552734375,365.6805419921875,599.5850830078125,466.09234619140625,0.5623561,0.7016915,0.8246686,0.05642647,0.7727089,0.7973669
23,1,0.9628428220748901,611.1739501953125,296.06829833984375,386.9618835449219,364.1847229003906,546.7164306640625,268.989501953125,701.5654296875,322.21087646484375,914.482177734375,404.581298828125,,,442.0679931640625,367.4722900390625,595.2650146484375,467.616455078125,0.565087,0.70091134,0.8286091,0.056170695,0.77064687,0.7948436
24,1,0.9670197367668152,609.8975219726562,296.4068298339844,387.879150390625,364.8560791015625,545.3582763671875,268.9211120605469,700.9775390625,321.99896240234375,913.9981689453125,404.3047180175781,,,440.04437255859375,368.1350402832031,595.4921875,467.806396484375,0.5673008,0.69763345,0.8300226,0.054645333,0.77554303,0.7993902
25,1,0.9698361158370972,609.4708862304688,296.5285949707031,388.1297607421875,365.09466552734375,544.7069702148438,268.69171142578125,700.296875,321.682861328125,912.607177734375,403.7992858886719,,,440.4093017578125,368.1216125488281,598.2793579101562,467.618408203125,0.5641996,0.6913502,0.82716846,0.053307027,0.7805856,0.80372024
26,1,0.9695149660110474,610.024658203125,296.5679016113281,387.8283996582031,365.1688232421875,544.9500122070312,269.40130615234375,699.7177124023438,322.79150390625,910.95166015625,403.98388671875,,,442.98046875,368.30181884765625,598.4630126953125,467.61474609375,0.56280315,0.69625473,0.82771534,0.05571952,0.7747402,0.80017054
27,1,0.9657366871833801,609.6234741210938,296.90643310546875,388.0985107421875,365.842041015625,543.2784423828125,269.1970520019531,698.2561645507812,322.5570373535156,910.0013427734375,403.664794921875,,,441.89154052734375,368.67120361328125,598.8369140625,467.29925537109375,0.56070966,0.69356686,0.8289739,0.05565459,0.7731215,0.79868424
