epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,310.28,0.5523,1.11071,0.55953,0.61378,1.04884,0.94854,0.98678,0.9797,0.87871,0.94654,0.97566,0.97062,0.66832,0.47008,1.16448,0.6025,0.85018,0.9249,0.00158118,0.00158118,0.00158118
28,323.406,0.56181,1.16133,0.56477,0.61411,1.06349,0.74707,0.95105,0.90874,0.8114,0.76556,0.89245,0.93493,0.6688,0.43929,1.09217,0.59717,1.53015,0.91686,0.00157788,0.00157788,0.00157788
29,337.999,0.62789,1.44336,0.56353,0.69085,1.0938,0.96752,0.9431,0.98003,0.89032,0.95778,0.9331,0.9605,0.70184,0.45659,1.11776,0.60872,0.91318,0.91858,0.00157458,0.00157458,0.00157458
30,352.445,0.59676,1.3459,0.56151,0.61632,1.07614,0.94769,0.99091,0.98529,0.93103,0.93846,0.98182,0.97427,0.72329,0.35875,1.03715,0.60764,0.66906,0.8482,0.00157128,0.00157128,0.00157128
31,364.168,0.58167,1.27043,0.55141,0.60607,1.0829,0.96055,0.99091,0.98356,0.92224,0.95132,0.98182,0.9738,0.72989,0.3671,1.07501,0.60752,0.68531,0.84787,0.00156798,0.00156798,0.00156798
32,378.252,0.56155,1.29929,0.55201,0.60535,1.03861,0.91535,0.89992,0.97936,0.88135,0.90732,0.89083,0.969,0.68109,0.46421,1.30734,0.61026,0.70961,0.93591,0.00156468,0.00156468,0.00156468
33,387.737,0.55567,1.07707,0.54672,0.60788,1.03365,0.9611,0.98924,0.98558,0.88011,0.9519,0.98015,0.97465,0.67876,0.4412,1.32913,0.60672,0.54887,0.9047,0.00156138,0.00156138,0.00156138
34,397.987,0.56335,0.92297,0.53611,0.61678,1.04224,0.9348,0.97987,0.98605,0.91253,0.9235,0.96643,0.97727,0.75005,0.38798,1.04574,0.60095,0.64094,0.87075,0.00155808,0.00155808,0.00155808
35,408.329,0.55812,1.06344,0.53947,0.61057,1.05078,0.96441,0.99091,0.98439,0.88734,0.95538,0.98182,0.97658,0.76709,0.41711,0.9575,0.60448,0.58137,0.87855,0.00155478,0.00155478,0.00155478
36,419.345,0.52554,0.90826,0.5253,0.53755,1.03811,0.98293,0.98322,0.986,0.9155,0.97375,0.97413,0.9758,0.73353,0.39578,1.02355,0.60382,0.44538,0.86709,0.00155148,0.00155148,0.00155148
37,432.529,0.54939,1.30595,0.5498,0.56546,1.03508,0.98332,0.98954,0.9834,0.92967,0.97404,0.98045,0.97192,0.77019,0.36583,0.95325,0.60194,0.41646,0.85475,0.00154818,0.00154818,0.00154818
38,444.986,0.57312,1.10197,0.54116,0.63694,1.07073,0.98223,0.99091,0.98672,0.92549,0.97301,0.98182,0.97453,0.77061,0.36992,0.94184,0.60347,0.40918,0.85397,0.00154488,0.00154488,0.00154488
39,457.957,0.59622,1.08919,0.52944,0.60821,1.07804,0.98296,0.99091,0.98184,0.91294,0.97372,0.98182,0.97841,0.74466,0.37282,1.03566,0.60497,0.4144,0.8428,0.00154157,0.00154157,0.00154157
40,472.369,0.56283,1.02143,0.53948,0.58331,1.05128,0.97245,0.98703,0.98285,0.93659,0.96329,0.97793,0.97282,0.77701,0.33586,0.95015,0.60362,0.44016,0.83741,0.00153827,0.00153827,0.00153827
41,482.386,0.5428,1.10405,0.53617,0.56092,1.032,0.96604,0.99091,0.98432,0.88183,0.95677,0.98182,0.97276,0.76335,0.46002,0.93275,0.60261,0.43073,0.89403,0.00153497,0.00153497,0.00153497
42,492.468,0.55258,0.94117,0.5306,0.56413,1.04627,0.98306,0.99091,0.99059,0.94499,0.97382,0.98182,0.97756,0.81484,0.30403,0.79694,0.60426,0.35695,0.81543,0.00153167,0.00153167,0.00153167
43,504.547,0.49759,0.97078,0.54104,0.50937,1.00714,0.98195,0.99091,0.98948,0.9057,0.97271,0.98182,0.97666,0.80474,0.42009,0.88581,0.59482,0.43815,0.86316,0.00152837,0.00152837,0.00152837
44,514.229,0.45681,0.76439,0.53917,0.50205,0.99765,0.98206,0.99091,0.98885,0.91693,0.97283,0.98182,0.97825,0.83729,0.39304,0.8021,0.5961,0.43564,0.86136,0.00152507,0.00152507,0.00152507
45,522.136,0.51016,0.97662,0.52542,0.58053,1.01488,0.96517,0.99091,0.98701,0.92778,0.95598,0.98182,0.97403,0.82011,0.36644,0.88337,0.58766,0.44687,0.86089,0.00152177,0.00152177,0.00152177
46,535.215,0.46177,0.76227,0.51273,0.57024,1.01331,0.98251,0.99091,0.9892,0.94771,0.97327,0.98182,0.97595,0.81295,0.32791,0.8157,0.58349,0.36263,0.83518,0.00151847,0.00151847,0.00151847
47,550.93,0.51466,0.83005,0.51364,0.51539,1.02513,0.98181,0.99091,0.98864,0.94009,0.9726,0.98182,0.97494,0.83397,0.36002,0.79246,0.58467,0.39318,0.83659,0.00151517,0.00151517,0.00151517
48,560.608,0.46848,0.91547,0.53348,0.49038,1.0018,0.97682,0.98548,0.98789,0.94371,0.96746,0.97639,0.9805,0.83011,0.33837,0.80492,0.58927,0.39703,0.82445,0.00151187,0.00151187,0.00151187
49,573.951,0.4829,0.77402,0.54311,0.5303,1.00977,0.97027,0.99091,0.98849,0.93386,0.96105,0.98182,0.98028,0.85256,0.31487,0.77695,0.58409,0.46129,0.82378,0.00150857,0.00150857,0.00150857
50,599.888,0.4756,0.8683,0.52491,0.5211,0.99795,0.9774,0.99091,0.98953,0.93874,0.96819,0.98182,0.98174,0.85439,0.33276,0.71272,0.59041,0.47112,0.83531,0.00150527,0.00150527,0.00150527
51,615.46,0.51377,0.83534,0.5028,0.51425,1.0501,0.97181,0.99091,0.98861,0.91283,0.96262,0.98182,0.97933,0.8358,0.3729,0.7794,0.59689,0.49141,0.85203,0.00150197,0.00150197,0.00150197
52,623.906,0.45836,0.7441,0.51011,0.47948,0.98867,0.98073,0.99091,0.98929,0.95347,0.97151,0.98182,0.97857,0.82931,0.32139,0.71267,0.59596,0.36608,0.82711,0.00149867,0.00149867,0.00149867
53,636.888,0.42395,0.80031,0.5164,0.47121,0.96575,0.97995,0.99091,0.99003,0.95923,0.97074,0.98182,0.97948,0.83593,0.30174,0.73296,0.59712,0.36236,0.81373,0.00149537,0.00149537,0.00149537
54,651.49,0.42299,0.73494,0.53713,0.46797,0.96353,0.9809,0.99091,0.9906,0.95307,0.97169,0.98182,0.97829,0.85059,0.30549,0.70257,0.60546,0.39653,0.81015,0.00149207,0.00149207,0.00149207
55,664.578,0.49417,0.88843,0.50441,0.51035,1.01343,0.98244,0.99091,0.99065,0.92553,0.97316,0.98182,0.9781,0.84151,0.34937,0.70625,0.59959,0.38712,0.83348,0.00148876,0.00148876,0.00148876
56,675.775,0.4389,0.88112,0.51806,0.47127,0.9653,0.9832,0.99091,0.98973,0.93818,0.97395,0.98182,0.97671,0.83015,0.33144,0.70297,0.60206,0.34724,0.85003,0.00148546,0.00148546,0.00148546
57,684.436,0.47836,0.71825,0.5074,0.50857,1.01653,0.98071,0.99091,0.98933,0.95048,0.97151,0.98182,0.97803,0.81887,0.30293,0.79704,0.61212,0.37437,0.82634,0.00148216,0.00148216,0.00148216
58,696.996,0.46623,0.80517,0.50365,0.49686,0.98694,0.98077,0.99091,0.98795,0.93668,0.97158,0.98182,0.9749,0.87758,0.32463,0.59113,0.60483,0.38799,0.83111,0.00147886,0.00147886,0.00147886
59,710.682,0.4828,0.68715,0.48303,0.49586,1.00515,0.97523,0.99091,0.98678,0.91063,0.96601,0.98182,0.97434,0.85396,0.40796,0.66103,0.59875,0.44939,0.8613,0.00147556,0.00147556,0.00147556
60,723.72,0.47672,0.82065,0.51783,0.49158,1.00371,0.97683,0.99091,0.98624,0.944,0.96776,0.98182,0.97411,0.8698,0.32968,0.58175,0.59117,0.37008,0.83535,0.00147226,0.00147226,0.00147226
61,737.807,0.43178,0.68437,0.52482,0.43112,0.95757,0.96656,0.99091,0.98577,0.92956,0.95763,0.98182,0.97141,0.86582,0.3739,0.55908,0.58735,0.46285,0.85556,0.00146896,0.00146896,0.00146896
62,746.346,0.45295,0.78619,0.50413,0.48792,0.9728,0.98328,0.99091,0.9884,0.94581,0.97405,0.98182,0.97339,0.8244,0.31848,0.68802,0.5836,0.35297,0.82372,0.00146566,0.00146566,0.00146566
63,759.951,0.46809,0.72803,0.51766,0.49188,0.98469,0.98173,0.99091,0.98641,0.9447,0.97253,0.98182,0.97162,0.84231,0.30886,0.65181,0.5813,0.34117,0.81733,0.00146236,0.00146236,0.00146236
64,774.472,0.43146,0.73036,0.50648,0.44675,0.96582,0.98187,0.99091,0.98754,0.94143,0.98187,0.99091,0.98754,0.89586,0.30311,0.49461,0.58382,0.35913,0.82006,0.00145906,0.00145906,0.00145906
65,784.944,0.4185,0.61712,0.50054,0.43615,0.97174,0.98282,0.99091,0.98762,0.95246,0.98282,0.99091,0.98762,0.87159,0.31867,0.56668,0.58765,0.35807,0.82272,0.00145576,0.00145576,0.00145576
66,793.795,0.42363,0.71065,0.513,0.42946,0.95087,0.97683,0.99091,0.99111,0.94281,0.97683,0.99091,0.99111,0.84199,0.30772,0.63657,0.58681,0.37436,0.82051,0.00145246,0.00145246,0.00145246
67,807.555,0.45007,0.61085,0.51221,0.44019,0.98133,0.98056,0.99091,0.99171,0.96967,0.97132,0.98182,0.98307,0.86994,0.27534,0.58175,0.59157,0.34346,0.80576,0.00144916,0.00144916,0.00144916
68,821.851,0.42215,0.6787,0.48071,0.45621,0.97354,0.99002,0.98743,0.99271,0.97987,0.98081,0.97834,0.98321,0.90851,0.25313,0.46245,0.5915,0.31613,0.8017,0.00144586,0.00144586,0.00144586
69,835.511,0.39965,0.54931,0.49576,0.40801,0.9812,0.97787,0.99193,0.9925,0.96158,0.97787,0.99193,0.9925,0.90995,0.27391,0.45851,0.59741,0.31923,0.80565,0.00144256,0.00144256,0.00144256
70,845.034,0.42867,0.66493,0.50081,0.44011,0.98712,0.98627,0.99168,0.99303,0.96639,0.98627,0.99168,0.99303,0.91435,0.28359,0.44309,0.59378,0.33459,0.8125,0.00143925,0.00143925,0.00143925
71,858.72,0.40985,0.59694,0.49553,0.40895,0.96521,0.98735,0.99091,0.99142,0.95611,0.98735,0.99091,0.99142,0.88445,0.32342,0.53203,0.59538,0.36177,0.82822,0.00143595,0.00143595,0.00143595
72,872.489,0.43369,0.69819,0.52471,0.45601,0.97327,0.98461,0.99091,0.99187,0.97414,0.98461,0.99091,0.99187,0.91088,0.2746,0.46509,0.59709,0.31946,0.8082,0.00143265,0.00143265,0.00143265
73,882.594,0.41686,0.69726,0.51599,0.45887,0.97138,0.98021,0.99091,0.99022,0.96307,0.971,0.98182,0.98165,0.8786,0.29433,0.49927,0.5893,0.3375,0.82038,0.00142935,0.00142935,0.00142935
