epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,389.865,0.94901,0.50406,1.0007,0.84689,0.76127,0.76907,0.49671,1.12665,0.53579,1.18095,0.00131299,0.00131299,0.00131299
43,398.355,0.92292,0.49577,0.98924,0.92315,0.78434,0.81551,0.48693,1.17885,0.56281,1.2351,0.00131016,0.00131016,0.00131016
44,408.06,0.92367,0.4915,0.98702,0.91885,0.78133,0.78495,0.51038,1.19167,0.56319,1.24618,0.00130733,0.00130733,0.00130733
45,418.555,0.94123,0.49118,0.99868,0.86849,0.78986,0.78526,0.45734,1.18215,0.5688,1.2188,0.00130451,0.00130451,0.00130451
46,427.418,0.9299,0.5089,0.98192,0.90009,0.78483,0.79813,0.49699,1.13961,0.55255,1.19807,0.00130168,0.00130168,0.00130168
47,435.689,0.93822,0.49452,0.97706,0.8536,0.78499,0.78283,0.47262,1.17071,0.54255,1.1973,0.00129885,0.00129885,0.00129885
48,444.781,0.93151,0.48934,0.98972,0.85439,0.79333,0.77679,0.46881,1.14727,0.52717,1.15015,0.00129602,0.00129602,0.00129602
49,453.342,0.91639,0.48976,0.99067,0.87344,0.76603,0.78212,0.45884,1.17895,0.54465,1.17896,0.00129319,0.00129319,0.00129319
50,462.329,0.90712,0.48453,0.98015,0.83429,0.79306,0.78777,0.46611,1.22524,0.5698,1.23798,0.00129036,0.00129036,0.00129036
51,470.772,0.90981,0.4841,0.99764,0.93981,0.78277,0.82164,0.50202,1.23807,0.55281,1.26076,0.00128753,0.00128753,0.00128753
52,479.753,0.92782,0.48125,0.9766,0.87761,0.80453,0.81625,0.5003,1.23535,0.58226,1.26743,0.0012847,0.0012847,0.0012847
53,488.241,0.92865,0.49686,1.00125,0.81178,0.80864,0.78371,0.49907,1.20511,0.56038,1.24383,0.00128187,0.00128187,0.00128187
54,497.032,0.90545,0.48375,0.98543,0.92547,0.80041,0.82404,0.49513,1.13876,0.58706,1.19633,0.00127904,0.00127904,0.00127904
